ID,Age,Sexo,Trabajo,Alojamiento,Cuenta de ahorros,Monto de credito,Duracion,Proposito,Riesgo
309,22,M,1,rentado,poco,276,9,carro,bueno
310,40,M,0,gratis,NA,5381,48,vacaciones/otros,bueno
311,25,M,2,propio,moderado,5511,24,inmoviliario/equipo,bueno
312,26,F,2,propio,poco,3749,24,inmoviliario/equipo,bueno
313,25,M,1,propio,poco,685,12,carro,malo
314,29,M,1,propio,NA,1494,4,carro,bueno
315,31,M,2,propio,poco,2746,36,inmoviliario/equipo,malo
316,38,M,1,propio,poco,708,12,inmoviliario/equipo,bueno
317,48,F,1,propio,NA,4351,24,inmoviliario/equipo,bueno
318,32,M,2,propio,poco,701,12,educacion,bueno
319,27,F,1,propio,poco,3643,15,inmoviliario/equipo,bueno
320,28,M,3,propio,poco,4249,30,carro,malo
321,32,M,2,propio,poco,1938,24,radio/TV,malo
322,34,M,3,gratis,poco,2910,24,carro,bueno
323,28,M,2,propio,rico,2659,18,inmoviliario/equipo,bueno
324,36,F,2,propio,poco,1028,18,carro,bueno
325,39,M,1,propio,poco,3398,8,carro,bueno
326,49,M,2,rentado,NA,5801,12,inmoviliario/equipo,bueno
327,34,F,2,propio,rico,1525,24,carro,bueno
328,31,M,2,propio,poco,4473,36,radio/TV,bueno
329,28,M,2,propio,poco,1068,6,radio/TV,bueno
330,75,M,3,gratis,poco,6615,24,carro,bueno
331,30,F,2,propio,moderado,1864,18,educacion,malo
332,24,F,3,propio,moderado,7408,60,carro,malo
333,24,F,1,rentado,moderado,11590,48,carro,malo
334,23,M,2,rentado,poco,4110,24,inmoviliario/equipo,malo
335,44,M,3,rentado,poco,3384,6,inmoviliario/equipo,malo
336,23,F,1,propio,poco,2101,13,radio/TV,bueno
337,24,F,2,rentado,NA,1275,15,usos domesticos,malo
338,28,M,2,propio,poco,4169,24,inmoviliario/equipo,bueno
339,31,M,1,propio,poco,1521,10,inmoviliario/equipo,bueno
340,24,F,2,gratis,poco,5743,24,educacion,bueno
341,26,F,1,rentado,poco,3599,21,inmoviliario/equipo,bueno
342,25,M,2,rentado,casi rico,3213,18,radio/TV,bueno
343,33,M,3,propio,poco,4439,18,negocios,bueno
344,37,M,1,propio,poco,3949,10,carro,bueno
345,43,F,1,propio,poco,1459,15,radio/TV,bueno
346,23,M,2,propio,poco,882,13,radio/TV,bueno
347,23,F,0,rentado,casi rico,3758,24,radio/TV,bueno
348,34,M,1,propio,moderado,1743,6,negocios,bueno
349,32,M,2,gratis,rico,1136,9,educacion,malo
350,23,F,2,rentado,poco,1236,9,usos domesticos,bueno
351,29,F,2,propio,poco,959,9,inmoviliario/equipo,malo
352,38,M,3,propio,NA,3229,18,carro,bueno
353,28,M,2,rentado,poco,6199,12,radio/TV,malo
354,46,M,2,gratis,casi rico,727,10,educacion,bueno
355,23,M,1,propio,poco,1246,24,carro,malo
356,49,M,2,propio,NA,2331,12,radio/TV,bueno
357,26,M,3,propio,poco,4463,36,radio/TV,malo
358,28,M,2,propio,poco,776,12,radio/TV,bueno
359,23,F,2,rentado,poco,2406,30,inmoviliario/equipo,malo
360,61,M,2,gratis,NA,1239,18,educacion,bueno
361,37,M,3,propio,NA,3399,12,radio/TV,bueno
362,36,F,2,propio,poco,2247,12,carro,bueno
363,21,M,2,rentado,poco,1766,6,inmoviliario/equipo,bueno
364,25,M,0,propio,poco,2473,18,inmoviliario/equipo,malo
365,36,M,2,propio,poco,1542,12,negocios,bueno
366,27,M,2,propio,poco,3850,18,carro,bueno
367,22,F,2,rentado,poco,3650,18,inmoviliario/equipo,bueno
368,42,M,2,propio,poco,3446,36,inmoviliario/equipo,malo
369,40,F,2,rentado,poco,3001,18,inmoviliario/equipo,bueno
370,36,M,2,propio,NA,3079,36,carro,bueno
371,33,M,2,propio,poco,6070,18,radio/TV,bueno
372,23,F,2,rentado,poco,2146,10,inmoviliario/equipo,bueno
373,63,M,3,gratis,NA,13756,60,carro,bueno
374,60,F,3,gratis,moderado,14782,60,vacaciones/otros,malo
375,37,F,2,rentado,poco,7685,48,negocios,malo
376,34,M,2,propio,poco,2320,18,radio/TV,bueno
377,36,M,2,gratis,NA,846,7,radio/TV,bueno
378,57,M,3,gratis,poco,14318,36,carro,malo
379,52,F,1,propio,moderado,362,6,carro,bueno
380,39,M,2,propio,NA,2212,20,inmoviliario/equipo,bueno
381,38,F,3,gratis,poco,12976,18,carro,malo
382,25,F,2,rentado,NA,1283,22,carro,bueno
383,26,M,2,propio,poco,1330,12,carro,bueno
384,26,M,1,propio,moderado,4272,30,negocios,bueno
385,25,F,2,propio,poco,2238,18,radio/TV,bueno
386,21,F,2,rentado,NA,1126,18,radio/TV,bueno
387,40,M,3,propio,poco,7374,18,inmoviliario/equipo,bueno
388,27,M,2,propio,casi rico,2326,15,negocios,bueno
389,27,F,2,propio,poco,1449,9,negocios,bueno
390,30,M,3,propio,poco,1820,18,carro,bueno
391,19,F,1,rentado,rico,983,12,inmoviliario/equipo,bueno
392,39,M,3,gratis,poco,3249,36,carro,bueno
393,31,F,2,propio,poco,1957,6,radio/TV,bueno
394,31,M,3,propio,poco,2406,9,inmoviliario/equipo,bueno
395,32,M,2,rentado,moderado,11760,39,educacion,bueno
396,55,F,3,gratis,poco,2578,12,inmoviliario/equipo,bueno
397,46,M,2,propio,poco,2348,36,inmoviliario/equipo,bueno
398,46,M,2,rentado,poco,1223,12,carro,malo
399,43,F,1,propio,rico,1516,24,radio/TV,bueno
400,39,M,2,propio,poco,1473,18,radio/TV,bueno
401,28,M,2,propio,NA,1887,18,negocios,bueno
402,27,M,2,propio,poco,8648,24,negocios,malo
403,27,M,1,propio,poco,802,14,carro,bueno
404,43,M,2,propio,NA,2899,18,carro,bueno
405,22,M,2,propio,poco,2039,24,radio/TV,malo
406,43,M,2,propio,NA,2197,24,carro,bueno
407,27,M,2,propio,poco,1053,15,radio/TV,bueno
408,26,M,3,propio,casi rico,3235,24,radio/TV,bueno
409,28,M,2,propio,casi rico,939,12,carro,malo
410,20,F,2,propio,poco,1967,24,radio/TV,bueno
411,35,M,3,propio,poco,7253,33,carro,bueno
412,42,M,3,propio,poco,2292,12,negocios,malo
413,40,M,1,rentado,casi rico,1597,10,carro,bueno
414,35,F,2,propio,NA,1381,24,carro,malo
415,35,M,2,propio,poco,5842,36,carro,bueno
416,33,M,1,propio,poco,2579,12,carro,malo
417,23,F,2,rentado,NA,8471,18,educacion,bueno
418,31,F,3,propio,casi rico,2782,21,carro,bueno
419,33,F,2,propio,NA,1042,18,carro,malo
420,20,F,2,rentado,rico,3186,15,carro,bueno
421,30,M,2,propio,NA,2028,12,carro,bueno
422,47,M,1,propio,poco,958,12,carro,bueno
423,34,M,3,propio,moderado,1591,21,inmoviliario/equipo,bueno
424,25,F,2,propio,NA,2762,12,inmoviliario/equipo,malo
425,21,M,2,rentado,poco,2779,18,carro,bueno
426,29,M,2,propio,poco,2743,28,radio/TV,bueno
427,46,M,2,propio,rico,1149,18,radio/TV,bueno
428,20,M,2,propio,poco,1313,9,inmoviliario/equipo,bueno
429,55,F,0,gratis,poco,1190,18,refacciones,malo
430,74,M,1,propio,poco,3448,5,negocios,bueno
431,29,M,3,propio,poco,11328,24,vacaciones/otros,malo
432,36,M,3,gratis,poco,1872,6,inmoviliario/equipo,bueno
433,33,M,2,propio,poco,2058,24,refacciones,bueno
434,25,M,2,propio,poco,2136,9,inmoviliario/equipo,bueno
435,25,M,2,propio,NA,1484,12,radio/TV,malo
436,23,M,1,rentado,casi rico,660,6,refacciones,bueno
437,37,F,2,propio,rico,1287,24,carro,bueno
438,65,M,0,propio,poco,3394,42,refacciones,bueno
439,26,F,0,propio,poco,609,12,negocios,malo
440,39,M,3,propio,poco,1884,12,carro,bueno
441,30,F,2,propio,poco,1620,12,inmoviliario/equipo,bueno
442,29,M,2,propio,poco,2629,20,vacaciones/otros,bueno
443,41,M,1,propio,poco,719,12,educacion,malo
444,30,F,3,propio,poco,5096,48,inmoviliario/equipo,malo
445,41,F,1,rentado,NA,1244,9,educacion,bueno
446,34,F,2,propio,poco,1842,36,carro,malo
447,35,M,2,propio,poco,2576,7,radio/TV,bueno
448,55,F,3,propio,NA,1424,12,inmoviliario/equipo,bueno
449,61,M,2,propio,rico,1512,15,refacciones,malo
450,30,M,3,propio,NA,11054,36,carro,bueno
451,29,F,2,propio,poco,518,6,radio/TV,bueno
452,34,M,2,propio,poco,2759,12,inmoviliario/equipo,bueno
453,35,M,3,propio,poco,2670,24,carro,bueno
454,31,M,2,propio,poco,4817,24,carro,malo
455,29,F,3,propio,poco,2679,24,carro,bueno
456,36,M,2,rentado,poco,3905,11,carro,bueno
457,35,M,2,gratis,poco,3386,12,carro,malo
458,27,F,2,propio,poco,343,6,usos domesticos,bueno
459,32,M,2,propio,poco,4594,18,radio/TV,bueno
460,37,M,2,propio,poco,3620,36,inmoviliario/equipo,bueno
461,36,M,2,propio,poco,1721,15,carro,bueno
462,34,F,3,rentado,poco,3017,12,inmoviliario/equipo,bueno
463,38,M,2,propio,NA,754,12,educacion,bueno
464,34,M,2,propio,poco,1950,18,negocios,bueno
465,63,M,2,propio,poco,2924,24,carro,bueno
466,29,F,1,rentado,poco,1659,24,radio/TV,malo
467,32,M,2,propio,NA,7238,48,radio/TV,bueno
468,26,F,2,propio,poco,2764,33,negocios,bueno
469,35,M,1,propio,poco,4679,24,carro,bueno
470,22,M,2,rentado,moderado,3092,24,radio/TV,malo
471,23,F,2,propio,poco,448,6,educacion,malo
472,28,M,1,propio,poco,654,9,carro,malo
473,36,M,3,propio,NA,1238,6,educacion,bueno
474,33,M,2,propio,poco,1245,18,radio/TV,malo
475,26,F,2,rentado,poco,3114,18,inmoviliario/equipo,malo
476,24,M,2,propio,casi rico,2569,39,carro,bueno
477,25,M,2,propio,poco,5152,24,radio/TV,bueno
478,39,M,1,propio,moderado,1037,12,negocios,bueno
479,44,M,2,propio,poco,1478,15,inmoviliario/equipo,bueno
480,23,F,1,propio,poco,3573,12,radio/TV,bueno
